,q,U_mean (center),U_std (center),U_mean (solution),U_std (solution)
0,0.47500000000000003,0.045996058205465346,6.602502523886179e-05,0.04943477210753563,2.5884124607713455e-05
1,0.485,0.0461268864710764,8.316407699085139e-05,0.04961271843975323,9.532183897839757e-05
2,0.495,0.0460718432813966,0.00011754353248754159,0.04942114824478904,0.00013224728415258427
3,0.505,0.046008914227620684,0.00015403357531243407,0.049198582899113275,0.00011842207115876185
4,0.515,0.04613391189296373,0.00011443050561808156,0.0490585700081533,0.00012891093323104464
5,0.525,0.045964817274946,0.00022479313481892844,0.04884614219302592,0.00011275617836171601
6,0.535,0.04574948901620139,0.0001217288146962706,0.04877535384796894,0.00013461424511338848
7,0.545,0.045757717969640364,0.00012412498904482792,0.049034785195143746,0.00010713589167290321
8,0.555,0.045682380319346697,9.012364251642153e-05,0.04880096857234684,0.00015209162678250928
9,0.5650000000000001,0.04575896574505821,0.00014385118251530893,0.048749544109132056,0.00013354123936560835
10,0.5750000000000001,0.04580138646990357,0.00011741037202673001,0.048626291272497374,0.00012258556982658393
11,0.585,0.04573694860833176,0.0002220055194054875,0.04880859312448242,0.0001313975606220105
12,0.595,0.04570610286827838,0.0001531923807636167,0.04908584255727644,0.00018627937810354982
13,0.605,0.04597256092191443,0.00014237006673667178,0.04905463382502391,0.00014488746928982964
14,0.615,0.046035056756545456,0.00012464964748094373,0.04910116442934241,0.0001355882449273156
15,0.625,0.04609653825433868,0.00017162688359643777,0.048947056444263524,0.0001528965806112194
16,0.635,0.04592027595259031,0.0001704283728151696,0.04909582986240018,0.00022991816164426648
17,0.645,0.04599143748741944,0.0002047484344514779,0.04910397724575271,0.00015507629626239345
18,0.655,0.04613121663405892,0.00012816285720395712,0.04916699450852894,0.00010789238768083258
19,0.665,0.046173050939555337,0.00015382667066001052,0.04936448888715297,0.00015472583188047334
20,0.675,0.046146575850064785,0.00014833060974084658,0.04929821229433529,0.00017015387071963038
21,0.685,0.04628438037473818,0.0002150306977289693,0.04963249850384524,0.00019160813067277112
22,0.6950000000000001,0.0462388749290086,0.00014540563534053472,0.04988197429901603,0.00017456136615801482
23,0.7050000000000001,0.04628636900722928,0.0001642685218490179,0.04996119232518121,0.00017509581966180873
24,0.715,0.04631291154017176,0.0001675532441374005,0.0497576989803538,0.00021230622009357216
25,0.725,0.04625280996483193,0.00017308044627839753,0.049813657375806945,0.0001754829291763327
26,0.735,0.04615412601327827,0.00019465121684139513,0.049890467302718795,0.00018276646341205987
27,0.745,0.046292688006184045,0.0002257174846878777,0.05001477147913224,0.0002444518763284287
28,0.755,0.04663517439349197,0.00021200950280188323,0.05053435434436173,0.0001647441443021726
29,0.765,0.04643825532863737,0.00017848209893555885,0.050420575440213694,0.00017370669644561505
30,0.775,0.04654352106072608,0.00018970591365678277,0.05046328911936148,0.00015895234245226988
31,0.785,0.04643827094769386,0.00022184220917652447,0.05045836362261459,0.00016113934882765389
32,0.795,0.04674291612998934,0.0002058012672469438,0.05068092550177227,0.0001871816944245962
33,0.805,0.046542360090144085,0.0001559386621609664,0.05034326267041047,0.00020322119762786276
34,0.8150000000000001,0.04655345102876219,0.00017019275046937116,0.0503993748075004,0.00017651940692007937
35,0.8250000000000001,0.04631384033052624,0.00015165495739085784,0.05021340426491402,0.00014593987925321886
36,0.8350000000000001,0.046527319077036534,0.00017785254683798282,0.04972543362094514,0.00019991217380641363
37,0.845,0.04645715105745257,0.0002014087453887694,0.049364076629779076,0.0002044919587574269
38,0.855,0.046417410949374634,0.00018518841237784696,0.048970472902445626,0.00022714945623589992
39,0.865,0.0464169638179628,0.0002620963060310715,0.04892833600236163,0.0001695167293178036
40,0.875,0.04654599111686286,0.00022291908883893512,0.049065513884279405,0.00019371229331319688
41,0.885,0.04649771724023673,0.0001392653594359638,0.04906240142448904,0.0002074628858635311
42,0.895,0.046549680981772354,0.00018634093382900222,0.049000557892380704,0.00019172936739479825
43,0.905,0.04683469357724183,0.00023817476772790874,0.048909807574562716,0.0002378535169368194
44,0.915,0.046952945225709294,0.00019011550025232687,0.04900446222610866,0.0001868326468175949
45,0.925,0.04706741755840094,0.00017124571918218556,0.04914235561326436,0.00017554215332292943
46,0.935,0.047045524165379465,0.00021600174529192896,0.04937065616733552,0.00018537930067382975
47,0.9450000000000001,0.04670984419234597,0.0001464904002205421,0.04899257129446684,0.00021153126746081848
48,0.9550000000000001,0.046630270063996906,0.00021565542669964532,0.04868212033993875,0.0003975107034150987
49,0.965,0.04633155532568388,0.0002534607026169008,0.04717636392421875,0.00038295195861926066
50,0.975,0.045751553010320516,0.00019884264199580745,0.04596391967654003,0.0003199822133960121
51,0.985,0.044485589666937844,0.00029601014985731686,0.04448391738821578,0.00029311274968156254
52,0.995,0.04394131675172962,0.0,0.044202989687061885,0.0
