,"q (alpha=1.8, T=1.8e+1, from s_i and s_j)","q (alpha=0.2, T=6.0e-3, from s_i and s_j)","q (alpha=0.2, T=2.0e-3, from s_i and s_j)","q (alpha=0.2, T=6.0e-4, from s_i and s_j)"
0,0.521324489361355,0.2585540984958664,0.39200813587125855,0.6839730123673418
1,0.5532152048374931,0.22985011602156236,0.4022340753623633,0.6542258436555389
2,0.5276337859898674,0.19870980372164582,0.3836377464679452,0.6790331194213794
3,0.5429780727576996,0.26867497986159655,0.3879405356069602,0.6712209679530416
4,0.5417738461224824,0.26756965914045167,0.4146061581677284,0.6990735891489764
5,0.5334430695866296,0.25313048569175206,0.3780702936850967,0.6680653354381573
6,0.5285485583476067,0.275566309621396,0.3444967643506939,0.6985944052304496
7,0.5663601349253679,0.2291030643539534,0.3818038429575481,0.7177300063562749
8,0.5750300903315458,0.27340864242975066,0.38310091626335024,0.6916444633241872
9,0.504028476738116,0.24566349019055023,0.4021130095808701,0.6797646475598466
10,0.5037102578147162,0.2477212700051003,0.420622440803384,0.670808485577132
11,0.4747311023154405,0.2051999964451433,0.3974405548303323,0.6777935240096912
12,0.5283355425405523,0.2628019725525985,0.3918700552137823,0.6801037138247013
13,0.49952997149380696,0.24303250865351042,0.38847340939235503,0.6749697144786536
14,0.5383404561399673,0.2595066291793052,0.3795564302047702,0.6746259786110408
15,0.5173108395712117,0.25337636630838384,0.36494758479192724,0.6999018523379128
16,0.5139239424744074,0.23536534961949596,0.3761647529502688,0.6728768839211899
17,0.5670639253509973,0.2369777419172869,0.3748070820193192,0.6406861311861751
18,0.4994880793199588,0.2581734425041413,0.380222702573496,0.6990999506198178
19,0.5023869996120908,0.224303656826983,0.3663941364875737,0.6769609031564776
20,0.5234895087197234,0.18775732716682525,0.36883174211395786,0.6706951041262442
21,0.47940271370235865,0.25410045041656715,0.4002945233574194,0.6795963433616693
22,0.5264752125734481,0.2767984225875646,0.39448193062767567,0.6983331840479264
23,0.532841802475899,0.206354082809769,0.36602381712690946,0.6565512768493771
24,0.47801918842164254,0.288277969982181,0.42532606065299644,0.6944450756915121
25,0.5473891588682568,0.2131439734536802,0.38254099470634867,0.6573865425888109
26,0.5397078546639503,0.23927346996894044,0.40897940191846155,0.6827267839952137
27,0.5173790064650238,0.2801435899396702,0.38485527875602116,0.6683261700689513
28,0.5220770032493468,0.22746153644007838,0.38928603211866075,0.6706052529522877
29,0.5941395690389947,0.24004433459915211,0.37449993889907773,0.6693331038149745
30,0.5476142299840576,0.19685210644510462,0.4177364910930352,0.6872408848381465
31,0.5843598536456424,0.27203075070485977,0.4058322333805825,0.6757513945079718
32,0.5120802294375887,0.21995440611473413,0.39842654095932206,0.6650247890948612
33,0.530464886480276,0.23871009583132013,0.4023192042458435,0.6886249447766483
34,0.46379058403827383,0.2903658185613522,0.4317995239244854,0.6820186452965297
35,0.5543545293213191,0.1868749669785651,0.40761927288647654,0.6201364251763819
36,0.563317555049987,0.22016615125562233,0.39457217324224786,0.6545288289016367
37,0.5067542850843955,0.22904876753907616,0.4250618543177878,0.6538457418508866
38,0.48568769186261807,0.21949924612841418,0.4324852037580211,0.6673627369207166
39,0.4909708499526095,0.238287772499748,0.40988422250729867,0.6827554528778172
40,0.5282928257073009,0.24572183523421084,0.3939886798315009,0.6618679858650995
41,0.4239986387206814,0.20207209209215743,0.44023945351497196,0.6820631370760981
42,0.5032696801498975,0.2269190944991186,0.39281111519099216,0.6545887703805019
