,"q (alpha=1.8, T=1.8e+1, from s_i)","q (alpha=1.8, T=1.8e+1, from s_j)","q (alpha=0.2, T=6.0e-3, from s_i)","q (alpha=0.2, T=6.0e-3, from s_j)","q (alpha=0.2, T=2.0e-3, from s_i)","q (alpha=0.2, T=2.0e-3, from s_j)","q (alpha=0.2, T=6.0e-4, from s_i)","q (alpha=0.2, T=6.0e-4, from s_j)"
0,0.4723848080845902,0.5384475428507959,0.2008908695072547,0.25998344576591154,0.3911071395275078,0.41156936977767944,0.6625820352210218,0.6741981169073122
1,0.5967157156031648,0.5359118415054939,0.21612673136776445,0.23498590988346132,0.3522506213728715,0.41668323853289274,0.6922064031264108,0.7055139185128825
2,0.5138222918883159,0.571140528691758,0.2712013082114634,0.24344966275100077,0.4462970360368067,0.41954282358684514,0.6902987985066921,0.6925258510580169
3,0.5516336363393348,0.5521141181817901,0.21212515840630428,0.31871766891362446,0.3710364818101524,0.43438031155000784,0.6633860587820439,0.7047463119914401
4,0.5950337121467,0.5344364659207488,0.22876857564499442,0.25175687096728966,0.4028825429404014,0.3971221912843399,0.6854618544695064,0.6849936087384395
5,0.4996942710935602,0.4981460644178198,0.22548208083398935,0.2822920228845056,0.39195769240474027,0.4235161840300964,0.6661920637919694,0.708285932180934
6,0.5205459492483531,0.5068749420175038,0.2601631847167064,0.24749691575714033,0.3788234733700201,0.4035818530988031,0.6822537861298819,0.6854690842041946
7,0.5489269457423521,0.514944813593101,0.21139115062312133,0.27069373929640445,0.3806158093852606,0.41608990326754264,0.6551982638909888,0.6921926241678976
8,0.47105168890747146,0.5300950717318835,0.18088801442802174,0.23552903818754076,0.3918420580732103,0.4248849319363938,0.6763276346537603,0.674654906365895
9,0.5466409037705855,0.5138893708430645,0.25510504817373236,0.2464354843781632,0.37159948823734185,0.41940031588287335,0.6856715071769812,0.6902764518325458
10,0.4516401318919695,0.4533156563177541,0.2014537836938495,0.26414217678853147,0.44523279243812536,0.4258718680808897,0.679214118229088,0.6540650135514869
11,0.5583319823605619,0.5258854244168704,0.2561159513141169,0.2868758023372184,0.32136073253000047,0.42158121385061054,0.7185272693713057,0.6874296536400086
12,0.46838139464002415,0.5240723670179426,0.28812322017158287,0.2732888188468439,0.3729199061835412,0.3861928035780498,0.6758505655127552,0.693865484196035
13,0.4962683313026091,0.524245445485134,0.2242860861244106,0.2868919113504847,0.38105636833897777,0.4237045202690236,0.6651876307642743,0.6994587667470678
14,0.5675552420508612,0.4678398067932491,0.2551606907591452,0.2273923789922613,0.382963988857421,0.3955534735123847,0.659693307443778,0.6769455276778162
15,0.5459824978795206,0.5372428861218366,0.25557145938897363,0.20180048238061546,0.3887437021333589,0.39957803944175624,0.6783897298530358,0.6884514255804133
