,U (c_0-s_0),U (c_0-s_1),U (c_0-s_2),U (c_0-s_3),U (c_0-s_4),U (c_1-s_0),U (c_1-s_1),U (c_1-s_2),U (c_1-s_3),U (c_1-s_4),U (c_2-s_0),U (c_2-s_1),U (c_2-s_2),U (c_2-s_3),U (c_2-s_4),U (c_0-s*_0),U (c_0-s*_1),U (c_0-s*_2),U (c_0-s*_3),U (c_0-s*_4),U (c_1-s*_0),U (c_1-s*_1),U (c_1-s*_2),U (c_1-s*_3),U (c_1-s*_4),U (c_2-s*_0),U (c_2-s*_1),U (c_2-s*_2),U (c_2-s*_3),U (c_2-s*_4),U (c_0-c_1),U (c_0-c_2),U (c_1-c_2)
0.0,0.07946301024906047,0.08248298273543564,0.08297482972626476,0.08781650825347512,0.09209825412890688,0.07947416407968155,0.08249930917367132,0.08299400913823632,0.08784428435312265,0.09212825661205812,0.07957846716053665,0.08262822046378021,0.08313777628187738,0.0880285948159101,0.09232223448390472,0.06907216393979788,0.06954545393387258,0.06752479111741484,0.06724359600818776,0.06892982133991644,0.06904475923752734,0.06951760686086922,0.06749133506505314,0.06721191015616781,0.06889852435212285,0.06896163721059924,0.06943237914089517,0.06737879112397877,0.0671082699328598,0.06879627244307143,0.06383756269107516,0.06337602368009865,0.06334629362061464
0.015625,0.08004114014820989,0.08322682561241312,0.0839228002846697,0.0885291276471212,0.0930028590582023,0.08013662365187643,0.08321938765109013,0.08394421138958855,0.0886360395921772,0.09312072133419999,0.08027968376731544,0.08334946016759995,0.08405871659709252,0.08886094645525347,0.09333052202852535,0.06914759237923183,0.06966509207416033,0.06762981779770555,0.06719463965574718,0.06891016894421238,0.06910560537370965,0.06959158869117152,0.06756034093565791,0.06716941350189305,0.06879346361525296,0.06903462547695999,0.06956434204448447,0.06745363529154433,0.0670473781540559,0.06869201706217569,0.06386231731637426,0.06337217302759415,0.06331677900150517
0.03125,0.0811486756450343,0.08460052361000858,0.0857756443348919,0.08992236631423013,0.09467765028689247,0.08147441058816163,0.08453826599546671,0.08585130647688394,0.09018875734150354,0.09502397851570543,0.08171544699107497,0.08471027542475276,0.08593765680836085,0.09052816064450372,0.09523609971516876,0.06949831517109506,0.07022062520243619,0.0682748467662598,0.06729016412493252,0.06910360433554724,0.06936787054802666,0.07006472377936339,0.0680548224242504,0.06724917476686904,0.0688225169487029,0.06935014203813203,0.07012644312126144,0.06801737211656524,0.0671085634791937,0.06877489853386642,0.06402647629989623,0.0634888558334799,0.06333387793669465
0.046875,0.08273120963122962,0.08650864438944728,0.0885365617940084,0.0919398026164147,0.09702780522888804,0.08340514892755685,0.0864208685034038,0.08866195879611821,0.0923873144264665,0.09765590183203862,0.08380174236723653,0.08661994974914632,0.08877398361604254,0.09292568022341255,0.0978368840049551,0.07009765825543779,0.0711837590280435,0.06938710200149228,0.06750532314454231,0.06946216792560343,0.06983073232317809,0.07089388647272535,0.06893691795430863,0.0674561288924835,0.06899490180527698,0.06990368898220942,0.07108335759262344,0.06901740657090084,0.06729043915456989,0.06898531121655926,0.06431682994429166,0.06370677043698753,0.06339093336614146
0.0625,0.0847691094550608,0.08891841887286736,0.09209713664855095,0.09447333626343687,0.09994381241549494,0.08585420458565735,0.08875688664245726,0.09227852542654497,0.09513885519622772,0.10101109504319106,0.08652952780241563,0.08900739219393856,0.0923538970712712,0.0959738913061235,0.10115733972469339,0.07092953321135108,0.07252839999979949,0.07093601967347758,0.06784390748063965,0.06996113879593793,0.07048873775699338,0.07199595513500884,0.07019712856459995,0.06776801566685675,0.06926478278744153,0.07070637819252112,0.07237528827305886,0.07044405568495542,0.06759301554019682,0.06929956424181292,0.06471755250099354,0.06400499379728229,0.06348179445339353
0.078125,0.08725898141352556,0.09180021428172537,0.09641094248358964,0.09750750033808187,0.10343652100377858,0.0888820729304704,0.09152886664734647,0.09665770257215743,0.09844817540041352,0.10510375965361682,0.0898602028746705,0.09183692601421711,0.09665782372651283,0.0996470731726913,0.10515367776207431,0.07194642625334667,0.07420984960714162,0.07290881066122434,0.06829098040201437,0.07061592867826616,0.07129559567756338,0.07339074596057621,0.07183805557867137,0.06820102114929531,0.06962395734885002,0.07173163105404769,0.07400652158470795,0.072284088796986,0.06800652511206508,0.06972931161658252,0.06522788636352142,0.0643761264176673,0.06360336557379562
0.09375,0.09022317070788852,0.0951459699972367,0.10149531430167681,0.1010495560441757,0.1074649851305702,0.09248197436459563,0.09469225955990845,0.10177576518171763,0.10232627480797417,0.10983216491141445,0.09384070690566004,0.09515048181895078,0.10173474089871734,0.104018384662264,0.10980218578772241,0.07312593286869047,0.07622787225868241,0.07532749173716344,0.06884016516922267,0.07142268077650771,0.07226922136422767,0.075054604468594,0.07383688921607087,0.06872231631107911,0.0700708888206614,0.07295135518008655,0.07597819791217711,0.07450024022875118,0.06852410591798153,0.07026071858876948,0.06583127503708397,0.06482182274263576,0.06375075828613111
0.109375,0.09352708070213167,0.09895735307403511,0.10729947227181522,0.1050211871315547,0.11207928350843488,0.09663350622802586,0.09825229922505435,0.1076426051367545,0.10674676182306705,0.1151879644824714,0.09840662053727237,0.09892743043507082,0.10755736433844179,0.10904753563584309,0.11489683936525061,0.07452372188197082,0.07860171657780307,0.0781434042088556,0.06949152431118155,0.07237508223826974,0.07336039811901537,0.07697987351799476,0.07622673980262297,0.06933518890364591,0.07058973768860327,0.07433223349821759,0.07827823986153215,0.07712108712266333,0.0691158615555128,0.07087470702510393,0.06652184133918974,0.06533830466782269,0.0639139139048322
0.125,0.09720740019480754,0.10314356389143484,0.11366640120021482,0.10940248313578207,0.11718751011286074,0.1012637068687979,0.10219321965415376,0.11415420628990222,0.11161327998294232,0.12118631221090995,0.10339917663465965,0.10306640497987182,0.11402761740895462,0.11453942117775866,0.12057194598457185,0.07608329123954452,0.08130256827456397,0.08129620476225338,0.07024214008686905,0.07346620922141597,0.07456405550480827,0.07919039687137405,0.07898110198424224,0.0700433913163048,0.07117405872280998,0.07587124767521283,0.0808477417122239,0.08012370152992788,0.06979273958213922,0.07156347874237211,0.06729258046454167,0.06591413967570736,0.06409099104627798
0.140625,0.10120855571025406,0.10764520606479958,0.12062636999451287,0.11403033177318148,0.12277610021383914,0.10636063924296335,0.10640660952199046,0.121177908615827,0.11684278771099235,0.12764753180907285,0.10892156013053832,0.10749642988114268,0.12105647650132753,0.12048658944023394,0.12677912529166058,0.07778992769664037,0.08427501905103812,0.08485526275003902,0.07108795860115444,0.0747099845759866,0.07590365829110865,0.08162497959951759,0.08201907854927204,0.0708398869230124,0.07184661214079001,0.07754688057581062,0.08363661887397697,0.08341254813811043,0.07053896085798145,0.07233985315351041,0.0681360850489206,0.06652963524078709,0.06427875947611672
0.15625,0.10548577098147913,0.11251182485962667,0.12796955673661056,0.11887225068761466,0.12866164519043854,0.11183216341840757,0.11091423584306948,0.128789010409858,0.12241296501225235,0.13453524614230286,0.1149167458611298,0.11212664546322725,0.12855260641421654,0.12668482661491354,0.13340941135472278,0.07966060255021588,0.08748856559866672,0.08878436395708054,0.07203163213602042,0.07610568702754422,0.07734035073193662,0.08422189042044076,0.08530885426356874,0.07171861224813808,0.07259798365442169,0.07934919457351836,0.08667888928044376,0.08699974505291014,0.07131594465096927,0.07319591790212085,0.06904330396662253,0.0671938895543659,0.06447665049310097
