,q,U_mean (center_i),U_std (center_i),U_mean (center_j),U_std (center_j)
0,0.865,0.06515150100618977,2.834906839294889e-05,0.06387325033672282,3.3162778249264714e-05
1,0.875,0.06505766323386201,6.858588578381803e-05,0.06385226590399713,6.814575054522599e-05
2,0.885,0.06510338527111226,7.225298760843321e-05,0.06391732058485526,7.203567617599456e-05
3,0.895,0.06515774371477295,7.182227961791101e-05,0.06395291280372327,7.868057420570853e-05
4,0.905,0.06517163083813078,7.656211766116406e-05,0.06407091621536662,7.455850340466785e-05
5,0.915,0.06508862074883438,0.0001284623985067907,0.06402942497142358,7.602666501601992e-05
6,0.925,0.06503435612505047,7.842351670692074e-05,0.0640917862617785,7.515987364610415e-05
7,0.935,0.06507876673047017,7.942828094503111e-05,0.06409540405988604,7.490542199365102e-05
8,0.9450000000000001,0.06468804444633573,0.00010412995214199423,0.06412657351154327,8.103746931433196e-05
9,0.9550000000000001,0.06465751342769192,0.00010456447790462725,0.06423185741964904,7.803342961909494e-05
10,0.965,0.0640270498040689,0.00017838190372644416,0.06416302474084219,7.223248092884321e-05
11,0.975,0.06355987978192487,0.00017329495551858615,0.06411393979754851,7.437122942472132e-05
12,0.985,0.0633006920791391,7.630638552388641e-05,0.0640409799543953,8.687291970395583e-05
13,0.995,0.06321603929755719,7.228264938992048e-05,0.06377006262375294,0.0001305698006655426
