,U_mean,U_err_up,U_err_down,trainerr_mean,trainerr_err_up,trainerr_err_down,mod_mean,mod_err_up,mod_err_down
0.2,0.0037435212967138094,3.55902237925066e-05,3.55902237925066e-05,0.0,0.0,0.0,170.71709940217806,0.7368484819912166,0.7368484819912166
1.0,0.02001906794347122,0.00018196862193419318,0.00018196862193419318,0.0,0.0,0.0,373.5546077327876,1.5972380854798787,1.5972380854798787
1.8,0.08490523172446676,0.004417716545368563,0.004417716545368563,0.0,0.0,0.0,663.0931122932241,9.85567166370389,9.85567166370389
2.0,0.12078650525392569,0.0026540541293201044,0.0026540541293201044,0.0011999999999999567,0.00039999999999999476,0.00039999999999999476,714.6719492548187,4.89933191631947,4.89933191631947
2.1,0.13252477234651383,0.006247982685152401,0.006247982685152401,0.004666666666666664,0.0028476031214716294,0.0028476031214716294,716.8991363944994,4.296063570748361,4.296063570748361
