,U (t=T/20),U (t=2T/20),U (t=3T/20),U (t=4T/20),U (t=5T/20),U (t=6T/20),U (t=7T/20),U (t=8T/20),U (t=9T/20),U (t=10T/20),U (t=11T/20),U (t=12T/20),U (t=13T/20),U (t=14T/20),U (t=15T/20),U (t=16T/20),U (t=17T/20),U (t=18T/20),U (t=19T/20),U (t=T)
0.0,0.07117327057712383,0.07087620641317563,0.07046042220060375,0.07081103038184913,0.07116246679645351,0.07090471183034854,0.07105553327687034,0.0710887581805332,0.0710807932814431,0.07140275879770848,0.07143729031830728,0.07111124584160042,0.0716216571251351,0.07129436519797573,0.07191118221690714,0.07014969172697391,0.06943788539641309,0.06932643264248953,0.06931830526064929,0.06827818375156039
0.015625,0.07133712541493652,0.071076736000327,0.07057985105048761,0.07108612452407927,0.07134492500228155,0.07108349036540179,0.071208346087124,0.07121243206288974,0.07123755173478674,0.07162057065162362,0.07171240263106518,0.07127782098054612,0.07177499368122447,0.07146921941026851,0.07207398102848951,0.07029895072258101,0.06952925300010246,0.06937111465223643,0.06928535571612145,0.06814928761936881
0.03125,0.07200436127859373,0.07160989916815635,0.07100786304743292,0.07166516871797511,0.07182434473898766,0.0715622289950956,0.07160638912081682,0.07159096353967923,0.07165670298672418,0.0720777830719853,0.07222833117972854,0.07170192722080038,0.07216712908687711,0.0718872458021068,0.07249301488125746,0.07061759296334669,0.06979656140864489,0.06959065656354363,0.06934142031205003,0.06802400745127582
0.046875,0.07317701230182615,0.0724311629683414,0.07175390570475376,0.0725220198240348,0.07259493280471899,0.07231960494458928,0.07225294693651205,0.07222995304097585,0.07229604188454411,0.07276410862714616,0.07296957278299639,0.07235630409490693,0.07280361084841797,0.07252350310881767,0.07315250936513762,0.07111281386339503,0.07019575129229264,0.06994785656438049,0.06949560473826619,0.06790323229382875
0.0625,0.07481481048904744,0.07358215820627259,0.07280324171917561,0.07365924777049376,0.07364886304152718,0.07335184807044644,0.07314261393420375,0.0731052464342264,0.07315046758228856,0.07365481312371419,0.07394782798799662,0.07321726081924118,0.0736656216458377,0.07337204915497403,0.07403641447766908,0.07179277126903101,0.0707203762526425,0.07042989077040177,0.06973785142990316,0.06778820977802287
0.078125,0.07691585648638707,0.07499051263959206,0.07410429826347774,0.07505438498334069,0.07497944655419636,0.07462141075029646,0.07427666847749412,0.07421664259298444,0.07422779109899633,0.07477489368617318,0.07511291381412392,0.07427709303979965,0.07477135539075765,0.0744182622587975,0.07515087310166366,0.07264701447959548,0.07137732179431716,0.07103138595540238,0.07004658331842403,0.06767803627938254
0.09375,0.07949244351595049,0.07664461893533027,0.07567480470792949,0.07669213481136306,0.0765633922106674,0.07614324510868989,0.07565911145678453,0.07557267091686823,0.07553794513352287,0.07612541384306884,0.0765136020945136,0.0755402865250694,0.07610476863444035,0.0756837105474381,0.07649022142650067,0.07362670154078058,0.07216393468257759,0.07175139437540326,0.07043580405495935,0.06757243838890667
0.109375,0.08254747715629321,0.0785507210238992,0.077498045897751,0.07857134037537283,0.07837557057232752,0.07790009070659998,0.07724079878422055,0.07715296546294331,0.0770706650392683,0.07768261344901443,0.0781251120311667,0.0769873170126088,0.07759031418635315,0.07715808366991825,0.07803016286298936,0.07473699986468865,0.07307902876514549,0.0725668345955103,0.07089838328840645,0.06747288162140377
0.125,0.08598225141040805,0.08070923279336074,0.07953009962886473,0.08069771836683716,0.08037687695070933,0.07987838832190006,0.07897789785960307,0.07895482074160776,0.0788006508988803,0.07940760680515306,0.07994051012463212,0.07861345440166162,0.07928666026360717,0.07882245762717327,0.07972189285243333,0.07598609103262777,0.07411304888011618,0.07346379782394794,0.07140817126784614,0.06737791565699344
0.140625,0.08980880006719616,0.0830893240255301,0.0817993018985437,0.08300129239160028,0.08258590339081495,0.08208336555279314,0.08092638813019351,0.08096912108189148,0.08071369115174169,0.0812878421041994,0.08192845694803667,0.08039086109140295,0.08118175749763587,0.08067717551605397,0.08157034792632367,0.07738174655201199,0.07522893209410138,0.0744294066668075,0.0719612572424175,0.06728667062015423
0.15625,0.09389382675788169,0.08565416644925351,0.0842670711783338,0.08547538204988123,0.08496792167673464,0.08447132616658545,0.08303642069999687,0.08320584013650682,0.08279928928677809,0.0833408005000065,0.08408150244552726,0.08229679194050692,0.08325339399620679,0.08273823654588291,0.08355936618282872,0.07893182310584754,0.07641453291345086,0.07542505492890911,0.07254916576163661,0.06720024965760048
0.171875,0.0982774441413432,0.08841079674958507,0.08691787769545925,0.08814315125310523,0.08753263995308067,0.08704744851411991,0.08530658333422256,0.08562713817316199,0.08501894609240612,0.08542426598674316,0.08642581064497601,0.08432882576145076,0.08548181890074744,0.08492354836028594,0.08564542978905905,0.08062794378024693,0.07765733196710992,0.0764538305051073,0.07319518874625949,0.06711852687972292
0.1875,0.10299612309415204,0.09130893585486444,0.0897449813609405,0.09094776598864455,0.09027176447253102,0.08978402501010745,0.08769964686861878,0.0881757632663648,0.08734463345022564,0.0876174606041848,0.0889197205437918,0.08648529541311377,0.08782685536191165,0.08719879383665319,0.08780611642672036,0.08242628549560267,0.078954664537913,0.07753432102525813,0.0738836865527287,0.06704087466113239
0.203125,0.10803090645132296,0.09429479254714387,0.09278875792353833,0.09385027323311762,0.09310009576197481,0.0925603812788158,0.09013483144763129,0.09078724772442556,0.089744760842985,0.08996727676951605,0.0915114430346134,0.08878850757775646,0.09030589579121145,0.08953150506138466,0.09007458864133372,0.08431569131335598,0.08028531681398399,0.07865570326237903,0.07458901522742709,0.06696603730191082
0.21875,0.11321212958343982,0.09743682820415109,0.09596925347216995,0.09684534360293018,0.0960010231565413,0.09541134623107918,0.09262521180395591,0.09341227805953445,0.09221418472172024,0.09242584979708444,0.094087480532244,0.09116931866622209,0.09290603630857233,0.09195648771955475,0.09244918870691043,0.08625878057577631,0.08164557177518342,0.07979324093048759,0.0753102846620862,0.06689390411628754
0.234375,0.11857013335758224,0.1007723094787531,0.09925257502730452,0.09995311006408539,0.09898190086004244,0.09833059963133024,0.09521788385928345,0.0961132879068265,0.09473663533560928,0.09493655287346063,0.09671601409743778,0.09364148320173865,0.09547981499380476,0.09445687651656857,0.09486431734868682,0.08820395494282435,0.0830369633466666,0.08094764938119359,0.07602194990702515,0.06682437172149115
0.25,0.12393353796682108,0.10422570525187182,0.10254368759704482,0.10315912843805863,0.10201320596517754,0.1013249753931304,0.0978079488104455,0.098919198553951,0.09725667565989057,0.09749174181987746,0.09935726302902875,0.09609012855752491,0.0980524919018908,0.09692036604543813,0.09736099460430242,0.09016620570742603,0.08446286929497204,0.08210107354315899,0.0767501234284861,0.06675842121486812
