,U (N=1200),U (N=2000),U (N=4000)
0.0,0.008101826963960886,0.007838823718003799,0.007880901391650999
0.015625,0.007519836931148188,0.00725609063847932,0.007319505077962561
0.03125,0.007042349380945429,0.00677657365091342,0.0068574400509821155
0.046875,0.0066535177581575995,0.006382958173135007,0.006478172406640311
0.0625,0.006340139548647125,0.006061474962415844,0.006168534939609875
0.078125,0.006091599302882734,0.005801297589480485,0.00591813487632638
0.09375,0.00589969583532437,0.005593884010988048,0.0057185183204472075
0.109375,0.005757940099545716,0.00543193185733581,0.005562724277671463
0.125,0.005661416264992231,0.005309627002060602,0.005444865211168928
0.140625,0.005606623903879,0.005222043041996199,0.005360219979939953
0.15625,0.005589791233370113,0.005165180824161652,0.00530459878004933
0.171875,0.005608074955944469,0.005135686499420896,0.005274347298096784
0.1875,0.00565911884871951,0.00513059931274098,0.005266529437613877
0.203125,0.005741023478686542,0.0051472154358810805,0.005278323476126426
0.21875,0.005850705726128755,0.0051829594323985805,0.00530729779477918
0.234375,0.005985231865851015,0.00523537150958657,0.005351173858722587
0.25,0.0061424555941599745,0.0053017508465639206,0.005407698979280346
0.265625,0.006318945387378587,0.005379949633329254,0.005474628572944074
0.28125,0.006511370703303021,0.00546798823944838,0.0055495577672004925
0.296875,0.0067160361412352265,0.005563735632249699,0.005630369158033903
0.3125,0.0069291915698068305,0.005664827840037493,0.0057150674611810256
0.328125,0.007145335171185848,0.005768709895090614,0.00580185989395011
0.34375,0.007360420763718,0.00587336078872994,0.005888669901391252
0.359375,0.007571710756641044,0.005976138635365327,0.005973580277656755
0.375,0.00777554080576619,0.006074798179016098,0.006054915016093201
0.390625,0.007966284594202983,0.006166948719153785,0.006130797005513359
0.40625,0.008140474769699974,0.006250413359402818,0.006200083022611767
0.421875,0.008293963575461845,0.0063244150008770735,0.006261094228425445
0.4375,0.008423327203748238,0.006387493908487213,0.006312607129635724
0.453125,0.00852884605943001,0.006437702378773497,0.006353551965468804
0.46875,0.008607955849589639,0.006474058419758122,0.006383591560284302
0.484375,0.00865533389141708,0.006496408316083902,0.0064020036818292865
0.5,0.008670902034376215,0.006504093304033209,0.006408035794978841
0.515625,0.008655333891417082,0.006496408316083902,0.006402003681829286
0.53125,0.008607955849589639,0.006474058419758122,0.006383591560284302
0.546875,0.008528846059430007,0.006437702378773497,0.006353551965468804
0.5625,0.008423327203748238,0.006387493908487212,0.006312607129635724
0.578125,0.008293963575461845,0.0063244150008770735,0.006261094228425445
0.59375,0.008140474769699974,0.006250413359402818,0.006200083022611766
0.609375,0.007966284594202983,0.0061669487191537845,0.006130797005513359
0.625,0.00777554080576619,0.006074798179016097,0.006054915016093201
0.640625,0.007571710756641044,0.005976138635365326,0.005973580277656754
0.65625,0.007360420763718,0.005873360788729941,0.005888669901391251
0.671875,0.007145335171185846,0.005768709895090614,0.0058018598939501105
0.6875,0.0069291915698068305,0.005664827840037493,0.0057150674611810256
0.703125,0.0067160361412352265,0.005563735632249699,0.005630369158033903
0.71875,0.006511370703303021,0.00546798823944838,0.0055495577672004925
0.734375,0.006318945387378587,0.005379949633329254,0.005474628572944074
0.75,0.0061424555941599745,0.0053017508465639206,0.005407698979280346
0.765625,0.005985231865851015,0.00523537150958657,0.005351173858722588
0.78125,0.005850705726128755,0.0051829594323985805,0.00530729779477918
0.796875,0.005741023478686542,0.0051472154358810805,0.0052783234761264244
0.8125,0.005659118848719509,0.00513059931274098,0.005266529437613879
0.828125,0.005608074955944469,0.005135686499420896,0.005274347298096784
0.84375,0.005589791233370114,0.005165180824161652,0.0053045987800493305
0.859375,0.005606623903879,0.0052220430419962,0.005360219979939953
0.875,0.005661416264992231,0.005309627002060602,0.005444865211168928
0.890625,0.005757940099545716,0.005431931857335809,0.005562724277671463
0.90625,0.0058996958353243695,0.005593884010988048,0.0057185183204472075
0.921875,0.006091599302882734,0.005801297589480485,0.00591813487632638
0.9375,0.006340139548647125,0.006061474962415844,0.006168534939609874
0.953125,0.006653517758157599,0.006382958173135007,0.006478172406640311
0.96875,0.007042349380945427,0.006776573650913421,0.0068574400509821155
0.984375,0.007519836931148188,0.00725609063847932,0.007319505077962561
1.0,0.008101826963960886,0.007838823718003799,0.007880901391650999
