,"q (low T, from s_i and s_j)","q (medium T, from s_i and s_j)"
0,0.6209688166403797,0.5833547565806996
1,0.6135834400722071,0.5671636970779984
2,0.6118654185883744,0.49727547189978394
3,0.6148894120775218,0.5605701334552498
4,0.6134787453572373,0.5468901237128073
5,0.6151640272994695,0.5452311967998129
6,0.6174878783152267,0.5758210832570363
7,0.6152451022747664,0.5279680948476401
8,0.6156465558992956,0.5420060242099476
9,0.6130051343682511,0.6178144384026026
10,0.6111832992392633,0.560454960448466
11,0.6188719032950838,0.57784158798194
12,0.6172385326396703,0.5577612976905454
13,0.6215410129827968,0.5994820738826541
14,0.6244115647425974,0.5244469492118707
15,0.6271874652801025,0.556487214374669
16,0.6207724891188368,0.5754470316529843
17,0.6209082002804813,0.5608849354308807
18,0.6202626011974907,0.5243362831671817
19,0.6269550424989778,0.5341262288499407
20,0.6213764758959058,0.5172854571432636
21,0.6221762979988914,0.5794112189989984
22,0.6206075685517646,0.5583125187189542
23,0.6187879637485572,0.5462930750649525
24,0.6224792388287321,0.5635681449208485
25,0.6222637844369139,0.49701042050983174
26,0.6237023223474657,0.537564028101223
27,0.6162157062037805,0.533728089495305
28,0.6182403829363904,0.517038677228604
29,0.6235588440656773,0.5382686173290658
30,0.623923398376679,0.5741984206705237
31,0.6270122427461229,0.5182962350140722
32,0.6232238431191798,0.5303066968226242
33,0.6255032120692773,0.5020859589457765
34,0.6281742690339965,0.5661135336831078
35,0.6342534750260302,0.5339775106140515
36,0.6302355589044284,0.5196042189839597
37,0.6331434527330795,0.556275206480499
38,0.6339878058602405,0.5147265230632888
39,0.6288691354514824,0.5217548651190311
40,0.6313663244471189,0.5145308070288815
41,0.636557027442491,0.5317622596675688
42,0.6300063104693094,0.5514922829926715
43,0.6292057822588892,0.5360600086066082
44,0.6326134136300822,0.594171432744097
45,0.6349282834225729,0.6034730405067068
46,0.6369131505075787,0.5614675507338418
47,0.6449298146202012,0.5028456291253754
48,0.6342900853953172,0.5695187368833907
49,0.6311270870800226,0.551088231310459
50,0.6297186721296902,0.5658191012450187
51,0.6387590505661066,0.5217926286412912
