,q
s0-s1,0.5973411165271052
s0-s2,0.6033396788378108
s0-s3,0.6408563064359725
s0-s4,0.6361002204683186
s1-s2,0.6019458439634714
s1-s3,0.5759653975959234
s1-s4,0.6381180080407225
s2-s3,0.5472801756774733
s2-s4,0.5196891897572096
s3-s4,0.601318197482851
