,"q (low T, from s_i)","q (low T, from s_j)","q (medium T, from s_i)","q (medium T, from s_j)"
0,0.988342777001687,0.990604657430226,0.6149614389514014,0.5243700594895657
1,0.9865235346133537,0.9896380996467277,0.5683924830735015,0.5080938704487593
2,0.989872284993673,0.9901860985340618,0.5866072064339564,0.5553525383685051
3,0.9887956745219102,0.9888857890927318,0.6053962974103119,0.5315244691000318
4,0.9889376958985995,0.9909916090721639,0.4940827211278393,0.5389352677971083
5,0.989108843154884,0.9905580638074801,0.5998527742973361,0.549454631204556
6,0.98957317406011,0.9880191379291299,0.5687472895675862,0.49238331353646186
7,0.9919975694118849,0.9900832772911574,0.4815711473381652,0.5300456428014017
8,0.9875290753770544,0.9915671299270181,0.5145019749525671,0.5975591682118901
9,0.988253811339148,0.9881051223983957,0.4997215931711625,0.5885390858500115
10,0.9902633655564579,0.9882766888498727,0.5445567354830775,0.5165539464158706
11,0.9872219914675352,0.9868365429281405,0.5904204671834349,0.5319246048784594
12,0.9863694345372673,0.9863611325077191,0.4896912786432501,0.5922488379419284
13,0.9874109912484802,0.9842974924844989,0.5180114105065246,0.5024855446631064
14,0.9861631450023589,0.9849341471086142,0.5877569984689168,0.4621654158526189
15,0.9873447859566779,0.980630652941038,0.5202853311697889,0.5420821820607428
16,0.9865569335154072,0.9783844408189377,0.5772157871571328,0.5885412606585397
17,0.9899194310044023,0.9776002703384978,0.5722190456808994,0.5014559971637116
18,0.9876087182217019,0.9714298580852972,0.5228509783273245,0.510847449587735
19,0.9879654394505868,0.9769434076246973,0.5725412544102141,0.49187200540074594
20,0.9897327527340648,0.9769154180239925,0.4659522481719302,0.5099149159392568
21,0.9890890324841843,0.9760304906248978,0.5951561678458583,0.5289277245662527
22,0.9882053718027991,0.9730119077888564,0.5267649816434622,0.5561132915920736
23,0.9867463552277772,0.9720848776383809,0.4836182492644209,0.5649979318447628
24,0.9873568464701543,0.9745785939869888,0.559744557623653,0.5108851644702684
25,0.9863899036287875,0.9743782952618568,0.5457123974187477,0.5010394169712001
26,0.9873053956914589,0.9736052956483159,0.4763922678577848,0.4954575403060759
27,0.9882938853074148,0.9720849898956477,0.5711602774615103,0.4593697840000245
28,0.9891446869908127,0.9715753832445768,0.559418199457354,0.521585200047908
29,0.988984964000693,0.971185082240784,0.552670946319383,0.5679001731137923
30,0.9899447873964375,0.9740134759413126,0.5246969776538829,0.47048094986368066
31,0.9884623494033224,0.9691810328751547,0.5244260363213562,0.5010438819514318
32,0.988882537895377,0.9695987221668732,0.5565970661311194,0.4606667738904447
33,0.9903421398922709,0.9690465778490486,0.5967779852363974,0.5386909145499006
34,0.9881474274318925,0.9677040009215929,0.5428379044890137,0.47452591165712626
35,0.9882411095173068,0.9667082654446013,0.5623825760751723,0.4989046587463883
36,0.9898257121355176,0.9650650529110695,0.5713154580552974,0.537892709850108
37,0.9892322030397287,0.9632313991231825,0.5609200546543496,0.4670822159385943
38,0.9867712992416626,0.9656819280999023,0.5187232489090111,0.47966254276373915
39,0.9886732583620952,0.9628310895367608,0.4736521743110417,0.5033569313868096
40,0.989036073351753,0.9625092769344086,0.5223316145543109,0.47553131178882074
41,0.9883656118675597,0.9677320318919367,0.530533794659079,0.5301717701406672
42,0.9886426614309621,0.9685041400095858,0.5198569590719037,0.531687670369407
43,0.987454628500837,0.9617761994920729,0.5590086012223155,0.5370952204612454
44,0.9888947662364239,0.9628328796596287,0.4831583653655164,0.5092484320134497
45,0.9887835752080416,0.9621023061124243,0.49589126459165234,0.5122931016941856
46,0.9903631202098447,0.9671575509904304,0.6226418741663748,0.48649960310244433
47,0.9898705851202764,0.9637183392648884,0.5343059568645445,0.5675433895994559
48,0.988793501078322,0.9659780102963461,0.527504150984556,0.5676483990852502
49,0.9895208127761163,0.9677755858041399,0.49591929838890947,0.5281723090694674
50,0.9900292853634866,0.9616366162706517,0.4977367770623757,0.5399369595116957
51,0.9884749991267532,0.964117568601591,0.5601956763081908,0.5034934448583878
52,0.9877835028922071,0.9675001322630264,0.5139365131819652,0.5110793765420292
53,0.9877550432985484,0.9664631511277405,0.5557390911928303,0.5390760890853826
54,0.9883912401487137,0.9655534021689077,0.513185751678687,0.4597464352558484
55,0.9874806500762812,0.9653281145409351,0.534794173864052,0.47971141228941455
56,0.9891237702743036,0.9636119236808817,0.5567962231639735,0.5310803367917815
57,0.9897372512415882,0.9652550423687555,0.5715929315352053,0.4695964107357457
58,0.9886123773441904,0.9653340719623708,0.5510072950927002,0.525203323643292
59,0.9885576695310427,0.9601766277823675,0.501727303527469,0.5673847394984125
60,0.9904374419000455,0.9641641988248766,0.48690100903825917,0.45973623243494144
61,0.9863813859285044,0.9650495019255093,0.49684045881230376,0.5484958213358546
62,0.9881553902460042,0.9620233606529449,0.5566492090802543,0.48261854495863027
63,0.9867609569167256,0.9635749614294107,0.5390178251381164,0.5482755009646814
64,0.9877075899122036,0.9682554474283596,0.5726071026982098,0.5876406159286381
65,0.9864307650510656,0.9652586874994659,0.5560933820233799,0.5784417287015391
66,0.9893514000777257,0.9693306031111808,0.5737332707554222,0.5310496889836844
67,0.9867679365419896,0.958808629170111,0.6064543399543095,0.48159093099077666
68,0.9867610375778206,0.9539483979894687,0.5554951795423942,0.49942211721351826
69,0.9888012097728596,0.948497088858611,0.5063788546969002,0.5213157002260369
70,0.9890534738232505,0.9505213087203283,0.5347285180878932,0.4622804788058455
71,0.9888217651881863,0.9534001615057621,0.5816554377338896,0.516323318503074
72,0.9893120088305918,0.9454018990241303,0.5475873793923636,0.5225386945340214
73,0.9899621571269764,0.9439405717402456,0.5215796647213087,0.5408441214521719
74,0.9867941423162514,0.9458499559927126,0.5622992937039203,0.5108094944589628
75,0.9893021687590007,0.9914656297653502,0.552603160034351,0.55011257907685
76,0.9908605234842182,0.9906976646554475,0.5819910636244042,0.5022573974958233
77,0.9903876690184009,0.9906549458960021,0.5297480024655974,0.5556158246124743
78,0.9897095710562565,0.9913949727958954,0.5024120390843839,0.5531197185139651
79,0.9875916413231518,0.9906919737361491,0.5959712695386681,0.545861562629421
80,0.987421579158985,0.9884638951487065,0.5545351432336293,0.5153467646005958
81,0.9895459608962633,0.9893791460864009,0.4769808180424055,0.5132917546414052
82,0.9896587897246183,0.9906718686110365,0.5273290454827619,0.5887164695354912
83,0.9909689554034372,0.9905539896557862,0.5019532189567402,0.5859343878470291
84,0.9908064196251206,0.988285510954051,0.5656335055125373,0.6083291849165227
85,0.9879386244059752,0.9857835445772978,0.5491635582902176,0.5749800239175438
86,0.9907197445068093,0.9878080967147039,0.5209650913393314,0.5951769172382751
87,0.9887793359595918,0.9822608074875443,0.5351338817377619,0.5138757553492962
88,0.9859446317904415,0.9835331733592882,0.5648123487434586,0.5178221314847253
89,0.98593779386373,0.9802573940075258,0.5515087777876952,0.5394245649557784
90,0.988308977289609,0.976574038720234,0.614299048447603,0.5061528168459678
91,0.9919271108469898,0.9792710372901863,0.5450654656538484,0.5586996946571052
92,0.9874992418494887,0.9720584695695977,0.5419144591439479,0.5474226146355384
